NAME                                                                                 VERSION                                                  TYPE                           
cli-arm64                                                                            UNKNOWN                                                  binary        (+2 duplicates)   
cline                                                                                3.0.39                                                   npm                             
cliui                                                                                6.0.0                                                    npm                             
cliui                                                                                8.0.1                                                    npm           (+1 duplicate)    
clojure                                                                              10.0.0                                                   npm                             
clone                                                                                2.1.2                                                    npm                             
cloud.google.com/go                                                                  v0.123.0                                                 go-module                       
cloud.google.com/go/auth                                                             v0.18.2                                                  go-module                       
cloud.google.com/go/auth/oauth2adapt                                                 v0.2.8                                                   go-module                       
cloud.google.com/go/compute/metadata                                                 v0.9.0                                                   go-module                       
cloud.google.com/go/iam                                                              v1.5.3                                                   go-module                       
cloud.google.com/go/kms                                                              v1.26.0                                                  go-module                       
cloud.google.com/go/longrunning                                                      v0.8.0                                                   go-module                       
cloud.google.com/go/monitoring                                                       v1.24.3                                                  go-module                       
cloud.google.com/go/storage                                                          v1.61.3                                                  go-module                       
cls-hooked                                                                           4.2.2                                                    npm                             
cmake                                                                                4.4.0-1                                                  alpm                            
cmd-shim                                                                             9.0.2                                                    npm                             
cockatiel                                                                            3.2.1                                                    npm                             
code                                                                                 1.127.0-1                                                alpm                            
coffeescript                                                                         10.0.0                                                   npm                             
color                                                                                5.0.3                                                    npm                             
color-convert                                                                        1.9.3                                                    npm                             
color-convert                                                                        2.0.1                                                    npm           (+3 duplicates)   
color-convert                                                                        3.1.3                                                    npm                             
color-name                                                                           1.1.3                                                    npm                             
color-name                                                                           1.1.4                                                    npm           (+3 duplicates)   
color-name                                                                           2.1.0                                                    npm                             
color-string                                                                         2.1.4                                                    npm                             
colorchoice                                                                          1.0.5                                                    rust-crate    (+1 duplicate)    
combined-stream                                                                      1.0.8                                                    npm           (+1 duplicate)    
command-line-arguments                                                               UNKNOWN                                                  go-module                       
commander                                                                            10.0.1                                                   npm                             
commander                                                                            12.1.0                                                   npm                             
commander                                                                            14.0.3                                                   npm                             
commander                                                                            2.11.0                                                   npm                             
commander                                                                            6.2.1                                                    npm                             
commander                                                                            8.3.0                                                    npm                             
common-ancestor-path                                                                 2.0.0                                                    npm                             
compiler-rt                                                                          22.1.8-1                                                 alpm                            
compress-commons                                                                     6.0.2                                                    npm                             
concat-map                                                                           0.0.1                                                    npm                             
concurrent-queue                                                                     2.5.0                                                    rust-crate    (+1 duplicate)    
configparser                                                                         3.2.0                                                    rust-crate    (+1 duplicate)    
configuration-editing                                                                10.0.0                                                   npm                             
console                                                                              0.16.3                                                   rust-crate    (+1 duplicate)    
const-oid                                                                            0.9.6                                                    rust-crate    (+1 duplicate)    
const-random                                                                         0.1.18                                                   rust-crate    (+1 duplicate)    
containerd                                                                           2.3.2-1                                                  alpm                            
content-disposition                                                                  1.0.1                                                    npm                             
content-disposition                                                                  1.1.0                                                    npm           (+1 duplicate)    
content-type                                                                         1.0.5                                                    npm           (+2 duplicates)   
content-type                                                                         2.0.0                                                    npm           (+3 duplicates)   
continuation-local-storage                                                           3.2.1                                                    npm                             
convertlit                                                                           1.8-13                                                   alpm                            
cookie                                                                               0.7.2                                                    npm           (+2 duplicates)   
cookie-signature                                                                     1.2.2                                                    npm           (+2 duplicates)   
copilot-chat                                                                         0.55.0                                                   npm                             
core-util-is                                                                         1.0.2                                                    npm           (+1 duplicate)    
core-util-is                                                                         1.0.3                                                    npm                             
coreutils                                                                            9.11-1                                                   alpm                            
cors                                                                                 2.8.6                                                    npm           (+2 duplicates)   
cpio                                                                                 2.15-3                                                   alpm                            
cpp                                                                                  10.0.0                                                   npm                             
cppdap                                                                               1.58.0-3                                                 alpm                            
cpufeatures                                                                          0.2.17                                                   rust-crate    (+1 duplicate)    
crc-32                                                                               1.2.2                                                    npm                             
crc32-stream                                                                         6.0.0                                                    npm                             
crc32fast                                                                            1.5.0                                                    rust-crate    (+1 duplicate)    
croner                                                                               10.0.1                                                   npm                             
cross-spawn                                                                          7.0.6                                                    npm           (+4 duplicates)   
crossbeam-channel                                                                    0.5.15                                                   rust-crate    (+1 duplicate)    
crossbeam-deque                                                                      0.8.6                                                    rust-crate    (+1 duplicate)    
crossbeam-epoch                                                                      0.9.18                                                   rust-crate    (+1 duplicate)    
crossbeam-utils                                                                      0.8.21                                                   rust-crate    (+1 duplicate)    
crypto-common                                                                        0.1.7                                                    rust-crate    (+1 duplicate)    
cryptography                                                                         49.0.0                                                   python        (+1 duplicate)    
cryptsetup                                                                           2.8.6-1                                                  alpm                            
csharp                                                                               10.0.0                                                   npm                             
css                                                                                  10.0.0                                                   npm                             
css-language-features                                                                10.0.0                                                   npm                             
css-select                                                                           5.1.0                                                    npm                             
css-select                                                                           5.2.2                                                    npm                             
css-what                                                                             6.1.0                                                    npm                             
css-what                                                                             6.2.2                                                    npm                             
cssesc                                                                               3.0.0                                                    npm                             
cssom                                                                                0.5.0                                                    npm                             
csv                                                                                  1.4.0                                                    rust-crate    (+1 duplicate)    
csv-core                                                                             0.1.13                                                   rust-crate    (+1 duplicate)    
ctrlc                                                                                3.5.2                                                    rust-crate    (+1 duplicate)    
cuda                                                                                 13.3.1-1                                                 alpm                            
curl                                                                                 8.21.0-1                                                 alpm                            
cyclonedx-bom                                                                        0.8.1                                                    rust-crate    (+1 duplicate)    
cyclonedx-bom-macros                                                                 0.1.0                                                    rust-crate    (+1 duplicate)    
cyphar.com/go-pathrs                                                                 v0.2.5                                                   go-module                       
d                                                                                    1.0.1                                                    npm                             
dario.cat/mergo                                                                      v1.0.2                                                   go-module                       
dart                                                                                 10.0.0                                                   npm                             
data-encoding                                                                        2.11.0                                                   rust-crate    (+1 duplicate)    
data-uri-to-buffer                                                                   4.0.1                                                    npm           (+1 duplicate)    
dav1d                                                                                1.5.3-1                                                  alpm                            
db5.3                                                                                5.3.28-7                                                 alpm                            
dbus                                                                                 1.16.2-1                                                 alpm                            
dbus-broker                                                                          37-3                                                     alpm                            
dbus-broker-units                                                                    37-3                                                     alpm                            
dbus-units                                                                           37-3                                                     alpm                            
dconf                                                                                0.49.0-1                                                 alpm                            
ddcutil                                                                              2.2.7-1                                                  alpm                            
deadpool                                                                             0.12.3                                                   rust-crate    (+1 duplicate)    
deadpool-runtime                                                                     0.1.4                                                    rust-crate    (+1 duplicate)    
debug                                                                                2.6.9                                                    npm                             
debug                                                                                4.4.3                                                    npm           (+4 duplicates)   
debug-auto-launch                                                                    10.0.0                                                   npm                             
debug-server-ready                                                                   10.0.0                                                   npm                             
debugedit                                                                            5.3-1                                                    alpm                            
decamelize                                                                           1.2.0                                                    npm                             
decompress-response                                                                  6.0.0                                                    npm                             
deep-extend                                                                          0.6.0                                                    npm                             
default-browser                                                                      5.2.1                                                    npm                             
default-browser-id                                                                   5.0.0                                                    npm                             
default-cursors                                                                      3-1                                                      alpm                            
define-lazy-prop                                                                     3.0.0                                                    npm                             
defmt                                                                                1.1.0                                                    rust-crate    (+1 duplicate)    
defmt-macros                                                                         1.1.0                                                    rust-crate    (+1 duplicate)    
defmt-parser                                                                         1.0.0                                                    rust-crate    (+1 duplicate)    
delayed-stream                                                                       1.0.0                                                    npm           (+1 duplicate)    
depd                                                                                 2.0.0                                                    npm           (+2 duplicates)   
der                                                                                  0.7.10                                                   rust-crate    (+1 duplicate)    
der-parser                                                                           10.0.0                                                   rust-crate    (+1 duplicate)    
deranged                                                                             0.5.8                                                    rust-crate    (+1 duplicate)    
desktop-file-utils                                                                   0.28-1                                                   alpm                            
detect-libc                                                                          2.1.2                                                    npm           (+2 duplicates)   
device-mapper                                                                        2.03.41-1                                                alpm                            
diagnostic-channel                                                                   1.1.1                                                    npm                             
diagnostic-channel-publishers                                                        1.0.8                                                    npm                             
diff                                                                                 10.0.0                                                   npm                             
diff                                                                                 8.0.3                                                    npm                             
diff                                                                                 8.0.4                                                    npm                             
diff                                                                                 9.0.0                                                    npm                             
diffie-hellman                                                                       5.0.3                                                    npm                             
difflib                                                                              0.4.0                                                    rust-crate    (+1 duplicate)    
diffutils                                                                            3.12-2                                                   alpm                            
dify-ai-provider                                                                     1.1.1                                                    npm                             
digest                                                                               0.10.7                                                   rust-crate    (+1 duplicate)    
dijkstrajs                                                                           1.0.3                                                    npm                             
dirs                                                                                 6.0.0                                                    rust-crate    (+1 duplicate)    
dirs-sys                                                                             0.5.0                                                    rust-crate    (+1 duplicate)    
discount                                                                             3.0.1.3-1                                                alpm                            
discover                                                                             6.7.2-1                                                  alpm                            
diskus                                                                               0.9.0                                                    rust-crate    (+1 duplicate)    
displaydoc                                                                           0.2.5                                                    rust-crate    (+1 duplicate)    
distlib                                                                              0.4.3                                                    python                          
distro                                                                               1.9.0                                                    python                          
dlv-list                                                                             0.5.2                                                    rust-crate    (+1 duplicate)    
dnspython                                                                            2.8.0                                                    python                          
docker                                                                               10.0.0                                                   npm                             
docker                                                                               1:29.6.1-1                                               alpm                            
docker-compose                                                                       5.3.1-1                                                  alpm                            
dolphin                                                                              26.04.3-1                                                alpm                            
dom-serializer                                                                       2.0.0                                                    npm           (+1 duplicate)    
domelementtype                                                                       2.3.0                                                    npm           (+1 duplicate)    
domhandler                                                                           5.0.3                                                    npm           (+1 duplicate)    
domutils                                                                             3.2.2                                                    npm           (+1 duplicate)    
dotenv                                                                               10.0.0                                                   npm                             
dotenv                                                                               17.4.2                                                   npm                             
dotenvy                                                                              0.15.7                                                   rust-crate    (+1 duplicate)    
double-conversion                                                                    3.4.0-1                                                  alpm                            
duktape                                                                              2.7.0-7                                                  alpm                            
dunce                                                                                1.0.5                                                    rust-crate    (+1 duplicate)    
dunder-proto                                                                         1.0.1                                                    npm           (+3 duplicates)   
dunst                                                                                1.13.2-1                                                 alpm                            
duplexer2                                                                            0.1.4                                                    npm                             
dyn-clone                                                                            1.0.20                                                   rust-crate    (+1 duplicate)    
e2fsprogs                                                                            1.47.4-1                                                 alpm                            
eastasianwidth                                                                       0.2.0                                                    npm                             
ebook-tools                                                                          0.2.2-9                                                  alpm                            
ecdsa-sig-formatter                                                                  1.0.11                                                   npm           (+3 duplicates)   
editorconfig-core-c                                                                  0.12.11-1                                                alpm                            
ee-first                                                                             1.1.1                                                    npm           (+2 duplicates)   
effect                                                                               4.0.0-beta.83                                            npm                             
either                                                                               1.16.0                                                   rust-crate    (+1 duplicate)    
electron42                                                                           42.6.1-1                                                 alpm                            
elfutils                                                                             0.195-1                                                  alpm                            
emitter-listener                                                                     1.1.2                                                    npm                             
emmet                                                                                10.0.0                                                   npm                             
emoji-regex                                                                          8.0.0                                                    npm           (+4 duplicates)   
emoji-regex                                                                          9.2.2                                                    npm                             
enabled                                                                              2.0.0                                                    npm                             
encodeurl                                                                            2.0.0                                                    npm           (+2 duplicates)   
encoding-sniffer                                                                     0.2.1                                                    npm                             
encoding_rs                                                                          0.8.35                                                   rust-crate    (+1 duplicate)    
encoding_rs_io                                                                       0.1.7                                                    rust-crate    (+1 duplicate)    
end-of-stream                                                                        1.4.4                                                    npm                             
endi                                                                                 1.1.1                                                    rust-crate    (+1 duplicate)    
entities                                                                             2.1.0                                                    npm                             
entities                                                                             4.5.0                                                    npm           (+2 duplicates)   
entities                                                                             6.0.1                                                    npm                             
entities                                                                             7.0.1                                                    npm           (+1 duplicate)    
enumflags2                                                                           0.7.12                                                   rust-crate    (+1 duplicate)    
env-paths                                                                            2.2.1                                                    npm           (+1 duplicate)    
equivalent                                                                           1.0.2                                                    rust-crate    (+1 duplicate)    
erased-serde                                                                         0.4.10                                                   rust-crate    (+1 duplicate)    
errno                                                                                0.3.14                                                   rust-crate    (+1 duplicate)    
es-define-property                                                                   1.0.1                                                    npm           (+3 duplicates)   
es-errors                                                                            1.3.0                                                    npm           (+3 duplicates)   
es-object-atoms                                                                      1.1.1                                                    npm           (+1 duplicate)    
es-object-atoms                                                                      1.1.2                                                    npm           (+1 duplicate)    
es-set-tostringtag                                                                   2.1.0                                                    npm           (+1 duplicate)    
es6-iterator                                                                         2.0.3                                                    npm                             
es6-symbol                                                                           3.1.3                                                    npm                             
escalade                                                                             3.1.1                                                    npm                             
escalade                                                                             3.2.0                                                    npm                             
escape-html                                                                          1.0.3                                                    npm           (+2 duplicates)   
escape-string-regexp                                                                 1.0.5                                                    npm                             
esniff                                                                               2.0.1                                                    npm                             
etag                                                                                 1.8.1                                                    npm           (+2 duplicates)   
etcetera                                                                             0.11.0                                                   rust-crate    (+1 duplicate)    
evdev                                                                                1.9.3                                                    python                          
event-emitter                                                                        0.3.5                                                    npm                             
event-listener                                                                       5.4.1                                                    rust-crate    (+1 duplicate)    
event-listener-strategy                                                              0.5.4                                                    rust-crate    (+1 duplicate)    
event-target-shim                                                                    5.0.1                                                    npm           (+1 duplicate)    
events                                                                               3.3.0                                                    npm                             
eventsource                                                                          3.0.7                                                    npm           (+2 duplicates)   
eventsource-parser                                                                   3.0.6                                                    npm                             
eventsource-parser                                                                   3.1.0                                                    npm           (+1 duplicate)    
exenv-es6                                                                            1.1.1                                                    npm                             
exiv2                                                                                0.28.8-2                                                 alpm                            
expand-template                                                                      2.0.3                                                    npm                             
expat                                                                                2.8.2-1                                                  alpm                            
exponential-backoff                                                                  3.1.3                                                    npm           (+1 duplicate)    
express                                                                              5.2.1                                                    npm           (+2 duplicates)   
express-rate-limit                                                                   8.5.1                                                    npm                             
express-rate-limit                                                                   8.5.2                                                    npm           (+1 duplicate)    
ext                                                                                  1.4.0                                                    npm                             
extend                                                                               3.0.2                                                    npm           (+2 duplicates)   
extension-editing                                                                    10.0.0                                                   npm                             
extsprintf                                                                           1.4.1                                                    npm                             
fakeroot                                                                             1:1.37.2-2                                               alpm                            
fast-check                                                                           4.9.0                                                    npm                             
fast-deep-equal                                                                      3.1.3                                                    npm           (+2 duplicates)   
fast-fifo                                                                            1.3.2                                                    npm                             
fast-sha256                                                                          1.3.0                                                    npm           (+1 duplicate)    
fast-string-truncated-width                                                          3.0.3                                                    npm                             
fast-string-width                                                                    3.0.2                                                    npm                             
fast-uri                                                                             3.1.2                                                    npm                             
fast-uri                                                                             3.1.3                                                    npm           (+1 duplicate)    
fast-wrap-ansi                                                                       0.2.2                                                    npm                             
fastest-levenshtein                                                                  1.0.16                                                   npm                             
fastrand                                                                             2.4.1                                                    rust-crate    (+1 duplicate)    
fcft                                                                                 3.3.3-1                                                  alpm                            
fdir                                                                                 6.5.0                                                    npm           (+1 duplicate)    
fecha                                                                                4.2.3                                                    npm                             
fetch-blob                                                                           3.2.0                                                    npm           (+1 duplicate)    
ffmpeg                                                                               2:8.1.2-10                                               alpm                            
fftw                                                                                 3.3.11-1                                                 alpm                            
file                                                                                 5.48-1                                                   alpm                            
file-type                                                                            22.0.1                                                   npm                             
