NAME                                                                                 VERSION                                                  TYPE                           
@microsoft/1ds-core-js                                                               3.2.13                                                   npm                             
@microsoft/1ds-core-js                                                               4.3.10                                                   npm                             
@microsoft/1ds-post-js                                                               3.2.13                                                   npm                             
@microsoft/1ds-post-js                                                               4.3.10                                                   npm                             
@microsoft/applicationinsights-channel-js                                            3.3.10                                                   npm                             
@microsoft/applicationinsights-common                                                3.3.10                                                   npm                             
@microsoft/applicationinsights-core-js                                               2.8.15                                                   npm                             
@microsoft/applicationinsights-core-js                                               3.3.10                                                   npm                             
@microsoft/applicationinsights-shims                                                 2.0.2                                                    npm                             
@microsoft/applicationinsights-shims                                                 3.0.1                                                    npm                             
@microsoft/applicationinsights-web-basic                                             3.3.10                                                   npm                             
@microsoft/applicationinsights-web-snippet                                           1.0.1                                                    npm                             
@microsoft/dev-tunnels-connections                                                   1.3.48                                                   npm                             
@microsoft/dev-tunnels-contracts                                                     1.3.48                                                   npm                             
@microsoft/dev-tunnels-management                                                    1.3.48                                                   npm                             
@microsoft/dev-tunnels-ssh                                                           3.12.22                                                  npm                             
@microsoft/dev-tunnels-ssh-tcp                                                       3.12.22                                                  npm                             
@microsoft/dynamicproto-js                                                           1.1.9                                                    npm                             
@microsoft/dynamicproto-js                                                           2.0.3                                                    npm                             
@microsoft/dynamicproto-rollup                                                       1.0.0                                                    npm                             
@microsoft/fast-element                                                              1.14.0                                                   npm                             
@microsoft/fast-foundation                                                           2.50.0                                                   npm                             
@microsoft/fast-react-wrapper                                                        0.3.25                                                   npm                             
@microsoft/fast-web-utilities                                                        5.4.1                                                    npm                             
@microsoft/mxc-sdk                                                                   0.6.1                                                    npm                             
@microsoft/tiktokenizer                                                              1.0.10                                                   npm                             
@mistralai/mistralai                                                                 2.2.5                                                    npm                             
@modelcontextprotocol/sdk                                                            1.29.0                                                   npm           (+2 duplicates)   
@mozilla/readability                                                                 0.6.0                                                    npm                             
@msgpackr-extract/msgpackr-extract-linux-x64                                         3.0.4                                                    npm                             
@nevware21/ts-async                                                                  0.5.4                                                    npm                             
@nevware21/ts-utils                                                                  0.14.0                                                   npm                             
@npmcli/agent                                                                        5.0.2                                                    npm                             
@npmcli/arborist                                                                     10.0.0                                                   npm                             
@npmcli/config                                                                       11.0.0                                                   npm                             
@npmcli/fs                                                                           6.0.0                                                    npm                             
@npmcli/git                                                                          8.0.0                                                    npm                             
@npmcli/installed-package-contents                                                   5.0.0                                                    npm                             
@npmcli/map-workspaces                                                               6.0.0                                                    npm                             
@npmcli/metavuln-calculator                                                          10.0.0                                                   npm                             
@npmcli/name-from-folder                                                             5.0.0                                                    npm                             
@npmcli/node-gyp                                                                     6.0.0                                                    npm                             
@npmcli/package-json                                                                 8.0.0                                                    npm                             
@npmcli/promise-spawn                                                                10.0.0                                                   npm                             
@npmcli/query                                                                        5.0.0                                                    npm                             
@npmcli/redact                                                                       5.0.0                                                    npm                             
@npmcli/run-script                                                                   11.0.0                                                   npm                             
@openai/codex                                                                        0.144.1                                                  npm                             
@openai/codex                                                                        0.144.1-linux-x64                                        npm                             
@openclaw/admin-http-rpc                                                             2026.6.11                                                npm                             
@openclaw/alibaba-provider                                                           2026.6.11                                                npm                             
@openclaw/anthropic-provider                                                         2026.6.11                                                npm                             
@openclaw/azure-speech                                                               2026.6.11                                                npm                             
@openclaw/bonjour                                                                    2026.6.11                                                npm                             
@openclaw/browser-plugin                                                             2026.6.11                                                npm                             
@openclaw/byteplus-provider                                                          2026.6.11                                                npm                             
@openclaw/canvas-plugin                                                              2026.6.11                                                npm                             
@openclaw/codex-supervisor                                                           2026.6.11                                                npm                             
@openclaw/cohere-provider                                                            2026.6.11                                                npm                             
@openclaw/comfy-provider                                                             2026.6.11                                                npm                             
@openclaw/copilot-proxy                                                              2026.6.11                                                npm                             
@openclaw/deepgram-provider                                                          2026.6.11                                                npm                             
@openclaw/document-extract-plugin                                                    2026.6.11                                                npm                             
@openclaw/duckduckgo-plugin                                                          2026.6.11                                                npm                             
@openclaw/elevenlabs-speech                                                          2026.6.11                                                npm                             
@openclaw/fal-provider                                                               2026.6.11                                                npm                             
@openclaw/file-transfer                                                              2026.6.11                                                npm                             
@openclaw/fs-safe                                                                    0.3.0                                                    npm                             
@openclaw/github-copilot-provider                                                    2026.6.11                                                npm                             
@openclaw/google-plugin                                                              2026.6.11                                                npm                             
@openclaw/huggingface-provider                                                       2026.6.11                                                npm                             
@openclaw/image-generation-core                                                      2026.6.11                                                npm                             
@openclaw/imessage                                                                   2026.6.11                                                npm                             
@openclaw/litellm-provider                                                           2026.6.11                                                npm                             
@openclaw/llm-task                                                                   2026.6.11                                                npm                             
@openclaw/lmstudio-provider                                                          2026.6.11                                                npm                             
@openclaw/media-understanding-core                                                   2026.6.11                                                npm                             
@openclaw/memory-core                                                                2026.6.11                                                npm                             
@openclaw/memory-wiki                                                                2026.6.11                                                npm                             
@openclaw/microsoft-foundry                                                          2026.6.11                                                npm                             
@openclaw/microsoft-speech                                                           2026.6.11                                                npm                             
@openclaw/migrate-claude                                                             2026.6.11                                                npm                             
@openclaw/migrate-hermes                                                             2026.6.11                                                npm                             
@openclaw/minimax-provider                                                           2026.6.11                                                npm                             
@openclaw/mistral-provider                                                           2026.6.11                                                npm                             
@openclaw/novita-provider                                                            2026.6.11                                                npm                             
@openclaw/nvidia-provider                                                            2026.6.11                                                npm                             
@openclaw/oc-path                                                                    2026.6.11                                                npm                             
@openclaw/ollama-provider                                                            2026.6.11                                                npm                             
@openclaw/open-prose                                                                 2026.6.11                                                npm                             
@openclaw/openai-provider                                                            2026.6.11                                                npm                             
@openclaw/opencode-go-provider                                                       2026.6.11                                                npm                             
@openclaw/opencode-provider                                                          2026.6.11                                                npm                             
@openclaw/openrouter-provider                                                        2026.6.11                                                npm                             
@openclaw/policy                                                                     2026.6.11                                                npm                             
@openclaw/proxyline                                                                  0.3.3                                                    npm                             
@openclaw/runway-provider                                                            2026.6.11                                                npm                             
@openclaw/senseaudio-provider                                                        2026.6.11                                                npm                             
@openclaw/sglang-provider                                                            2026.6.11                                                npm                             
@openclaw/synthetic-provider                                                         2026.6.11                                                npm                             
@openclaw/telegram                                                                   2026.6.11                                                npm                             
@openclaw/together-provider                                                          2026.6.11                                                npm                             
@openclaw/tts-local-cli                                                              2026.6.11                                                npm                             
@openclaw/video-generation-core                                                      2026.6.11                                                npm                             
@openclaw/vllm-provider                                                              2026.6.11                                                npm                             
@openclaw/volcengine-provider                                                        2026.6.11                                                npm                             
@openclaw/voyage-provider                                                            2026.6.11                                                npm                             
@openclaw/vydra-provider                                                             2026.6.11                                                npm                             
@openclaw/web-readability-plugin                                                     2026.6.11                                                npm                             
@openclaw/webhooks                                                                   2026.6.11                                                npm                             
@openclaw/workboard                                                                  2026.6.11                                                npm                             
@openclaw/xai-plugin                                                                 2026.6.11                                                npm                             
@openclaw/xiaomi-provider                                                            2026.6.11                                                npm                             
@opencode-ai/plugin                                                                  1.17.18                                                  npm                             
@opencode-ai/sdk                                                                     1.17.18                                                  npm           (+1 duplicate)    
@opentelemetry/api                                                                   1.9.0                                                    npm                             
@opentelemetry/api                                                                   1.9.1                                                    npm                             
@opentelemetry/api-logs                                                              0.212.0                                                  npm                             
@opentelemetry/api-logs                                                              0.214.0                                                  npm           (+4 duplicates)   
@opentelemetry/context-async-hooks                                                   2.5.1                                                    npm                             
@opentelemetry/context-async-hooks                                                   2.9.0                                                    npm                             
@opentelemetry/core                                                                  1.30.1                                                   npm                             
@opentelemetry/core                                                                  2.5.1                                                    npm           (+2 duplicates)   
@opentelemetry/core                                                                  2.6.1                                                    npm           (+18 duplicates)  
@opentelemetry/core                                                                  2.9.0                                                    npm                             
@opentelemetry/exporter-logs-otlp-grpc                                               0.214.0                                                  npm                             
@opentelemetry/exporter-logs-otlp-http                                               0.214.0                                                  npm           (+1 duplicate)    
@opentelemetry/exporter-logs-otlp-proto                                              0.214.0                                                  npm                             
@opentelemetry/exporter-metrics-otlp-grpc                                            0.214.0                                                  npm                             
@opentelemetry/exporter-metrics-otlp-http                                            0.214.0                                                  npm           (+1 duplicate)    
@opentelemetry/exporter-metrics-otlp-proto                                           0.214.0                                                  npm                             
@opentelemetry/exporter-trace-otlp-grpc                                              0.214.0                                                  npm                             
@opentelemetry/exporter-trace-otlp-http                                              0.214.0                                                  npm           (+1 duplicate)    
@opentelemetry/exporter-trace-otlp-proto                                             0.214.0                                                  npm                             
@opentelemetry/instrumentation                                                       0.41.2                                                   npm                             
@opentelemetry/otlp-exporter-base                                                    0.214.0                                                  npm           (+1 duplicate)    
@opentelemetry/otlp-grpc-exporter-base                                               0.214.0                                                  npm                             
@opentelemetry/otlp-transformer                                                      0.214.0                                                  npm           (+1 duplicate)    
@opentelemetry/resources                                                             1.30.1                                                   npm                             
@opentelemetry/resources                                                             2.5.1                                                    npm                             
@opentelemetry/resources                                                             2.6.1                                                    npm           (+14 duplicates)  
@opentelemetry/resources                                                             2.9.0                                                    npm                             
@opentelemetry/sdk-logs                                                              0.212.0                                                  npm                             
@opentelemetry/sdk-logs                                                              0.214.0                                                  npm           (+4 duplicates)   
@opentelemetry/sdk-metrics                                                           2.6.1                                                    npm           (+2 duplicates)   
@opentelemetry/sdk-metrics                                                           2.9.0                                                    npm                             
@opentelemetry/sdk-trace                                                             2.9.0                                                    npm                             
@opentelemetry/sdk-trace-base                                                        1.30.1                                                   npm                             
@opentelemetry/sdk-trace-base                                                        2.5.1                                                    npm                             
@opentelemetry/sdk-trace-base                                                        2.6.1                                                    npm           (+6 duplicates)   
@opentelemetry/sdk-trace-base                                                        2.9.0                                                    npm                             
@opentelemetry/sdk-trace-node                                                        2.5.1                                                    npm                             
@opentelemetry/sdk-trace-node                                                        2.9.0                                                    npm                             
@opentelemetry/semantic-conventions                                                  1.28.0                                                   npm           (+1 duplicate)    
@opentelemetry/semantic-conventions                                                  1.39.0                                                   npm                             
